,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,EndgameChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
0,Blen Shiferaw,qm1,blue,1,122,false,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,robot not present
1,sarah and Saragha,qm1,blue,2,888,true,8H,0.0,1.0,,None, | Picked up cube,3Lcone|4H|5H|6H|7H|9H,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.5, | Fast cycle time
2,Suhani,qm1,blue,3,8230,true,,0.0,1.0,Engage,Engage,,1Lcube|2Lcube|6Lcube,0.0,focused on shooting cubes to the other side to collect,Engage,Engage,19.9,,0.0,0.0,0.0,0.0,0.0,
3,Amogh and aran,qm1,red,1,346,true,,0.0,1.0,,None, | ,4Lcube|5M|6Lcube|7Lcube,0.0, | ,Engage,Engage,, | ,0.0,0.0,10.0,0.0,2.0, | 
4,Shashwat and Adrian Sun,qm1,red,2,1262,false,,0.0,0.0,Engage,Engage, | ,7H|8H|9H,0.5, | ,Engage,None,, | Robot fell off,0.0,0.0,0.0,0.0,1.0, | 
5,Agneya and Agneya,qm1,red,3,4456,true,5H,0.0,1.0,Engage,Engage, | ,1H,0.0, | ,Engage,Engage,14.4, | ,1.0,0.0,0.0,0.0,2.0, | 
6,Suhani,qm10,blue,3,623,true,6M,0.0,1.0,Engage,Engage,,1M|2M|3M|4M|5M|6Lcube,0.0,,Engage,Engage,6.5,,0.0,0.0,0.0,0.0,5.0,
7,Rachel and Blen Shiferaw,qm10,blue,,977,true,8M,0.0,0.0,,, | ,3Lcube|8Lcube|9Lcube,0.0, | took a long time to intake from double substation ,Engage,Engage,5.4, | ,0.0,0.5,0.0,0.0,1.5, | 
8,sarah and Saragha,qm10,blue,2,4099,true,1H,0.5,1.0,,None, | ,2H|3H|4H|5H|6Lcone|6H,1.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,4.5, | 
9,Adrian Sun,qm10,red,2,1418,false,6H,0.0,0.0,,,,5M|6M,1.0,,,,9.0,,0.0,0.0,0.0,0.0,2.0,
10,alexander and Owen,qm10,red,3,1727,true,1H|3H,0.0,1.0,Engage,Engage, | Good auto and intake and out take and also good charge,1Lcube|2Lcube|2M|3Lcube|4H|7H|9H,0.0, | ,,None,, | ,0.0,0.0,20.0,2.0,3.5, | 
11,Agneya  and Agneya,qm10,red,,5724,true,9Lcone,1.0,1.0,,None, | ,2H|4M|5H|7M|8H,0.0, | ,Engage,Engage,14.6, | ,0.0,0.0,0.0,0.0,2.0, | 
12,Nicole and Sri,qm100,blue,3,620,true,5M,0.0,0.0,Engage,Engage, | ,2Lcone|3Lcone|3M,0.0, | ,Engage,None,, | ,0.0,0.0,0.0,0.0,1.0, | 
13,Hannah and Olivia,qm100,blue,2,1086,true,,1.0,1.0,,, | ,6Lcone|7Lcone|7M|9M,2.0, | ,Engage,Engage,13.350000000000001, | ,0.0,1.0,0.0,0.0,1.0, | 
14,Eckart,qm100,blue,,1262,true,,1.0,1.0,,None,,2Lcone|2M|7Lcube|8Lcube,0.0,,,Park,,,0.0,0.0,0.0,0.0,2.0,
15,Sayan and Arav,qm100,red,2,623,false,,0.0,0.0,Engage,Engage, | ,1Lcube|1M|2M|3M|4M|5M|9M,0.0, | ,Engage,Engage,,Double | ,0.0,0.0,30.0,0.0,0.0, | 
16,Chris and darren,qm100,red,3,2068,true,,0.5,1.0,,, | Gripper motor disconnected,,0.0, | ,Engage,Engage,, | ,0.0,0.0,30.0,1.0,1.0, | 
17,Rithvik and Sydney,qm100,red,,2363,true,9H,0.0,1.0,,None, | ,1H|2H|3H|4H|5H|6H|8M,0.0, | ,,Park,, | ,0.0,0.0,0.0,0.0,2.5, | 
18,Sophia T,qm101,blue,3,611,true,8M|8H,0.0,1.0,,None,,1H|3H|5H,0.0,,Engage,Dock,11,,0.0,1.0,0.0,0.0,0.0,
19,Saragha,qm101,blue,2,2199,true,2H,0.0,1.0,,None,,6H,1.0,missed teleop data ,,Park,,,0.0,0.0,0.0,0.0,4.0,
20,Rachel and Blen Shiferaw,qm101,blue,,9072,true,2H,0.0,1.0,,None, | ,3Lcube|7Lcube|8Lcone|9Lcube,0.0, | ,Engage,Dock,, | intake was not working robot was pushing cubes and cones ,0.0,0.0,0.0,0.0,0.5, | 
21,Aran,qm101,red,,836,true,1H|2H,0.0,1.0,,None,,7M|7H|8Lcube|8H|9M|9H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,
22,alexander,qm101,red,3,977,true,8M,0.0,1.0,,None,,2M|9Lcube,1.0,,Engage,Engage,,Dual Engage,0.0,0.0,40.0,2.0,2.0,This team collides a lot| not great for their rather flimsy intake
23,Adrian Sun,qm101,red,2,6802,true,5H,0.0,1.0,Engage,Engage,,1H|3H|4H|6H,1.0,,Engage,Engage,2.5,,0.0,0.0,0.0,0.0,4.0,
