ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes,scanRaw,AutoCones,AutoCubes,TeleopCones,TeleopCubes,AttemptedTripleBalance,SuccessfulTripleBalance,uuid
Owen and Joshua,qm1,blue,3,1023,false,,0.0,0.0,None,, | Missed cube in attempt to double wcore,1Lcube|2Lcube|2M|3H|4Lcone|4M|5Lcube|6M,0.0, | Knocked teammate over| good sped thoughDriving is way too aggressive| knocked teammate over and broke loading station window Struggled to cross charge station| bumper too low,Engage,Engage,, | Waited for teammate,0.0,0.5,30.0,2.5,4.0, | Utilized high speed well| but had trouble controlling it ,Owen|||blue|3|1023|false||0|false||||1Lcube|2Lcube|2M|3H|4Lcone|4M|5Lcube|6M|0||Engage|Dock|||false|true|40|4|4|,[],[],"['High', 'Low', 'Mid', 'Mid']","['Low', 'Low', 'Mid', 'Low']",0.0,0.0,cedccfba-d613-4113-baa7-ca12afbb8a77
shayaan,qm1,blue,2,5804,true,4H,0.0,0.0,Engage,None,tries to engage but hits charge station?,1H|3H|4Lcone|5Lcone|5M|5H|6H|7Lcone,0.0,lots of troubles with double sub intake for a lil,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,,shayaan|qm|1|blue|2|5804|true|4H|0|false|Engage|None|tries to engage but hits charge station?|1H|3H|4Lcone|5Lcone|5M|5H|6H|7Lcone|0|lots of troubles with double sub intake for a lil|Engage|Engage|||false|false|0|0|4|,['High'],[],"['High', 'High', 'Low', 'Low', 'High', 'Low']","['Mid', 'High']",0.0,0.0,528aaa4d-c3c7-498a-bc5e-1fd251aa4e6f
Suzy,qm1,blue,1,9030,true,7Lcube,0.0,1.0,None,None,,2H|9Lcube,1.0,,None,None,,,0.0,1.0,0.0,0.0,0.0,Tipped over,Suzy|qm|1|blue|1|9030|true|7Lcube|0|true||None||2H|9Lcube|1|||None|||false|true|0|0|0|Tipped over,[],['Low'],[],"['High', 'Low']",0.0,0.0,2fe6fb5b-1be6-496e-9e82-57f8fc6ca854
Blen,qm1,red,2,4663,true,2H,0.0,1.0,None,,,4M|4H|3H|2M|1H,0.0,takes a long time to intake cones from double sub ,None,Park,,,0.0,0.0,0.0,0.0,2.0,,Blen|qm|1|red|2|4663|true|8H|0|true||||6M|6H|7H|8M|9H|0|takes a long time to intake cones from double sub ||Park|||false|false|0|0|2|,[],['High'],"['Mid', 'High', 'High', 'High']",['Mid'],0.0,1.0,00bf484a-adcc-4456-b7a7-c5a1655e2fbb
Ryan,qm1,red,3,5338,true,9H,0.0,0.0,None,None,,7H|6Lcone|6H|3M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,,Ryan|qm|1|red|3|5338|true|1H|0|false||None||3H|4Lcone|4H|7M|0||Engage|Engage|||false|false|0|0|5|,['High'],[],"['High', 'Low', 'High', 'Mid']",[],0.0,1.0,f7e9464a-2164-49ea-98a8-c92366f8e0cf
Aran,qm1,red,1,7428,true,5H|1M|1M,0.0,1.0,Engage,Engage,,8H|2M|1M,0.0,,Engage,Engage,,,0.0,1.0,0.0,0.0,2.0,Slow,Aran|qm|1|red|1|7428|true|5H|9M|9M|0|true|Engage|Engage||2H|8M|9M|0||Engage|Engage|||false|true|0|0|2|Slow,"['Mid', 'Mid']",['High'],['Mid'],"['High', 'Mid']",0.0,1.0,c5ee57d5-aee4-4ef9-9732-3cc74be86c5f
Abhimanyu Ghosh,qm1,red,1,8808,true,2H,0.0,0.0,None,None,,5Lcube|5M|2M|1H,0.0,,None,Engage,,,0.0,0.0,0.0,0.0,0.0,Slight issue grabbing cones,Abhimanyu Ghosh||1|red|1|8808|true|8H|0|false||None||5Lcube|5M|8M|9H|0|||Engage|||false|false|0|0|0|Slight issue grabbing cones,[],['High'],['High'],"['Low', 'Mid', 'Mid']",0.0,1.0,99122159-a61e-4ce6-a194-80ab716b9f12
sarah,qm10,blue,3,179,true,9Lcone|9H,1.0,1.0,None,None,,1M|1H|4M|7H|8Lcone|8H,1.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,,sarah|qm|10|blue|3|179|true|9Lcone|9H|1|true||None||1M|1H|4M|7H|8Lcone|8H|1|||Park|||false|false|0|0|0|,"['Low', 'High']",[],"['Mid', 'High', 'Mid', 'High', 'Low']",['High'],0.0,0.0,3735a2c1-ad6d-4709-9426-4579b118f1a5
Nikhil,qm10,blue,1,3003,false,4H,0.0,0.0,Engage,Engage,,5M|6M|7M|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,,Nikhil|qm|10|blue|1|3003|false|4H|0|false|Engage|Engage||5M|6M|7M|9M|0||Engage|Engage|||false|false|0|0|3|,['High'],[],"['Mid', 'Mid', 'Mid']",['Mid'],0.0,0.0,cd9af1e6-d894-4715-a92c-e2f15c85caae
Shashwat,qm10,blue,2,3940,true,2H,0.0,1.0,None,None,,2Lcube|3H|5H|6H|7Lcube|8Lcube,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Shashwat|qm|9|blue|2|3940|true|2H|0|true||None||2Lcube|3H|5H|6H|7Lcube|8Lcube|1||Engage|Engage|||false|false|0|0|0|,[],['High'],"['High', 'High']","['Low', 'High', 'Low', 'Low']",0.0,0.0,57cd9653-4dc4-46fd-a39f-5546580ac9a6
